id,value
id_0,33
id_1,60
id_2,16
id_3,33
id_4,5
id_5,41
id_6,46
id_7,25
id_8,38
id_9,26
id_10,31
id_11,59
id_12,41
id_13,45
id_14,23
id_15,18
id_16,51
id_17,30
id_18,19
id_19,20
id_20,16
id_21,31
id_22,44
id_23,4
id_24,63
id_25,48
id_26,26
id_27,1
id_28,21
id_29,48
id_30,31
id_31,15
id_32,21
id_33,4
id_34,14
id_35,39
id_36,15
id_37,28
id_38,12
id_39,54
id_40,47
id_41,20
id_42,59
id_43,17
id_44,54
id_45,51
id_46,62
id_47,37
id_48,54
id_49,42
id_50,39
id_51,29
id_52,43
id_53,21
id_54,30
id_55,43
id_56,17
id_57,19
id_58,39
id_59,27
id_60,10
id_61,25
id_62,27
id_63,66
id_64,52
id_65,24
id_66,49
id_67,54
id_68,25
id_69,39
id_70,68
id_71,43
id_72,51
id_73,12
id_74,13
id_75,25
id_76,66
id_77,4
id_78,43
id_79,36
id_80,13
id_81,34
id_82,7
id_83,24
id_84,10
id_85,7
id_86,15
id_87,6
id_88,16
id_89,19
id_90,42
id_91,11
id_92,14
id_93,17
id_94,38
id_95,11
id_96,19
id_97,6
id_98,9
id_99,5
id_100,7
id_101,17
id_102,6
id_103,8
id_104,5
id_105,37
id_106,31
id_107,0
id_108,20
id_109,20
id_110,21
id_111,14
id_112,10
id_113,27
id_114,13
id_115,13
id_116,4
id_117,40
id_118,34
id_119,0
id_120,2
id_121,12
id_122,16
id_123,21
id_124,6
id_125,27
id_126,28
id_127,9
id_128,23
id_129,25
id_130,0
id_131,34
id_132,11
id_133,17
id_134,25
id_135,27
id_136,6
id_137,26
id_138,71
id_139,53
id_140,21
id_141,19
id_142,27
id_143,11
id_144,12
id_145,17
id_146,11
id_147,4
id_148,17
id_149,10
id_150,43
id_151,21
id_152,18
id_153,13
id_154,11
id_155,13
id_156,20
id_157,38
id_158,10
id_159,28
id_160,47
id_161,17
id_162,70
id_163,14
id_164,35
id_165,31
id_166,17
id_167,6
id_168,63
id_169,24
id_170,18
id_171,70
id_172,14
id_173,11
id_174,18
id_175,0
id_176,9
id_177,18
id_178,25
id_179,20
id_180,43
id_181,34
id_182,27
id_183,17
id_184,11
id_185,54
id_186,32
id_187,27
id_188,12
id_189,32
id_190,9
id_191,14
id_192,37
id_193,76
id_194,26
id_195,16
id_196,62
id_197,19
id_198,23
id_199,27
id_200,170
id_201,16
id_202,67
id_203,4
id_204,74
id_205,48
id_206,12
id_207,7
id_208,63
id_209,7
id_210,40
id_211,84
id_212,14
id_213,99
id_214,47
id_215,91
id_216,106
id_217,88
id_218,29
id_219,7
id_220,29
id_221,65
id_222,35
id_223,27
id_224,43
id_225,13
id_226,8
id_227,69
id_228,32
id_229,0
id_230,35
id_231,11
id_232,14
id_233,4
id_234,14
id_235,20
id_236,20
id_237,0
id_238,18
id_239,3
